# lang-pinyin-chars-v1 —— 常用汉字节选·拼音标注（语文确定性档「拼音选字」判定域）。
# 来源：义务教育语文课程标准（2022 年版）附录《义务教育语文课程常用字表》公开口径的
#       常用字节选（registry.yaml lic-kebiao-chinese-2022，事实引用）；汉字与拼音是
#       语言符号/事实信息，不构成著作权客体；节选编排为本仓原创（CC0-1.0）。
# 格式：汉字<TAB>拼音（带声调符号，小写）；# 开头为注释行。
# 约束（装载器 fail-closed 强制）：单字唯一、拼音 ^[a-zāáǎàōóǒòēéěèīíǐìūúǔùü]+$、
#       总数 ≥300（minPinyinChars）。
# ── 单韵母 a / ia / ua ──
爸	bà
妈	mā
马	mǎ
骂	mà
爬	pá
把	bǎ
八	bā
大	dà
打	dǎ
他	tā
她	tā
拉	lā
发	fā
法	fǎ
塔	tǎ
卡	kǎ
怕	pà
沙	shā
傻	shǎ
洒	sǎ
花	huā
画	huà
话	huà
家	jiā
加	jiā
下	xià
瓜	guā
挂	guà
蛙	wā
娃	wá
瓦	wǎ
牙	yá
呀	ya
甲	jiǎ
# ── o / uo ──
我	wǒ
坐	zuò
做	zuò
作	zuò
左	zuǒ
错	cuò
座	zuò
桌	zhuō
捉	zhuō
拖	tuō
脱	tuō
锅	guō
果	guǒ
过	guò
火	huǒ
伙	huǒ
货	huò
活	huó
说	shuō
多	duō
躲	duǒ
婆	pó
坡	pō
破	pò
波	bō
拨	bō
摸	mō
# ── e ──
哥	gē
歌	gē
河	hé
和	hé
禾	hé
车	chē
舌	shé
蛇	shé
课	kè
刻	kè
克	kè
喝	hē
渴	kě
鹅	é
乐	lè
色	sè
特	tè
这	zhè
热	rè
# ── u ──
五	wǔ
午	wǔ
舞	wǔ
武	wǔ
无	wú
屋	wū
乌	wū
书	shū
叔	shū
出	chū
初	chū
除	chú
厨	chú
住	zhù
猪	zhū
竹	zhú
煮	zhǔ
主	zhǔ
助	zhù
木	mù
目	mù
母	mǔ
路	lù
鹿	lù
兔	tù
土	tǔ
图	tú
突	tū
努	nǔ
古	gǔ
骨	gǔ
故	gù
顾	gù
谷	gǔ
姑	gū
苦	kǔ
哭	kū
库	kù
裤	kù
呼	hū
湖	hú
虎	hǔ
护	hù
福	fú
富	fù
父	fù
布	bù
步	bù
普	pǔ
读	dú
独	dú
堵	dǔ
度	dù
如	rú
入	rù
组	zǔ
租	zū
足	zú
族	zú
祖	zǔ
阻	zǔ
苏	sū
速	sù
诉	sù
素	sù
输	shū
鼠	shǔ
树	shù
术	shù
束	shù
# ── ü ──
雨	yǔ
语	yǔ
羽	yǔ
玉	yù
育	yù
遇	yù
去	qù
趣	qù
区	qū
取	qǔ
需	xū
须	xū
许	xǔ
续	xù
女	nǚ
绿	lǜ
旅	lǚ
鱼	yú
于	yú
余	yú
句	jù
具	jù
居	jū
举	jǔ
# ── i（零声母 y- 与 声母 b p m d t n l）──
一	yī
衣	yī
医	yī
依	yī
以	yǐ
已	yǐ
意	yì
义	yì
艺	yì
易	yì
移	yí
疑	yí
姨	yí
比	bǐ
笔	bǐ
鼻	bí
逼	bī
必	bì
毕	bì
闭	bì
皮	pí
披	pī
米	mǐ
密	mì
蜜	mì
迷	mí
地	dì
弟	dì
第	dì
低	dī
底	dǐ
滴	dī
敌	dí
笛	dí
提	tí
题	tí
踢	tī
梯	tī
体	tǐ
替	tì
你	nǐ
泥	ní
力	lì
立	lì
利	lì
例	lì
丽	lì
历	lì
李	lǐ
里	lǐ
礼	lǐ
理	lǐ
离	lí
梨	lí
鸡	jī
机	jī
集	jí
级	jí
极	jí
急	jí
记	jì
纪	jì
季	jì
己	jǐ
挤	jǐ
几	jǐ
# ── i（声母 j q x）──
期	qī
七	qī
漆	qī
齐	qí
骑	qí
棋	qí
旗	qí
起	qǐ
器	qì
气	qì
汽	qì
西	xī
息	xī
吸	xī
希	xī
洗	xǐ
喜	xǐ
戏	xì
细	xì
习	xí
席	xí
# ── i（声母 zh ch sh r z c s）──
知	zhī
纸	zhǐ
直	zhí
值	zhí
指	zhǐ
治	zhì
志	zhì
之	zhī
支	zhī
枝	zhī
吃	chī
